DriftStartIndex,DriftEndIndex,DriftDuration,DriftJulDate,DriftStartLight,DriftEndLight,DriftAvgLight,DriftStartDepth,DriftEndDepth,DriftAvgDepth,DriftStartGMT,DiveStartLight,DriftRate,TOPPID,DaysSinceDeparture,SmoothSunriseHour,HoursSinceSunrise,SmoothSunsetHour,HoursSinceSunset,SmoothDaylength,TimeOfDay,Col
26,117,728,732158.9063,80,27,66.00960219,252,653.5,363.159808,21.752232,185,-0.22,2004018,62.87509241,15.38322126,6.36901074,6.769665735,14.98256627,15.40001157,Day,yellow4
26,81,440,732159.0629,80,27,82.34920635,259.5,634.5,244.8945578,1.510008,194,-0.23,2004018,63.03166641,15.38322126,-13.87321326,6.769665735,-5.259657735,15.40001157,Day,yellow4
107,139,256,732159.089,77,16,61.75486381,244.5,443,394.233463,2.136672,190,-0.22,2004018,63.05777741,15.38322126,-13.24654926,6.769665735,-4.632993735,15.40001157,Day,yellow4
25,117,736,732159.7478,71,91,53.55630936,246.5,149.5,296.3561737,17.947776,166,-0.235,2004018,63.71657381,15.40082704,2.54694896,6.762560487,11.18521551,15.37933922,Day,yellow4
27,133,848,732159.7696,70,23,51.51825677,266,418,307.8262662,18.469992,183,-0.23,2004018,63.738333,15.40082704,3.06916496,6.762560487,11.70743151,15.37933922,Day,yellow4
26,140,912,732159.7924,70,17,49.58707558,260,425.5,346.33954,19.016664,184,-0.235,2004018,63.76111141,15.40082704,3.61583696,6.762560487,12.25410351,15.37933922,Day,yellow4
23,144,968,732159.8168,76,30,57.21568627,250,546.5,359.627451,19.603344,192,-0.23,2004018,63.78555563,15.40082704,4.20251696,6.762560487,12.84078351,15.37933922,Day,yellow4
27,127,800,732159.8413,72,17,53.77902622,283,484,412.4662921,20.192232,197,-0.235,2004018,63.810093,15.40082704,4.79140496,6.762560487,13.42967151,15.37933922,Day,yellow4
30,92,496,732160.015,79,93,71.95171026,290.5,201,286.0653924,0.358896,189,-0.205,2004018,63.98370378,15.40082704,-15.04193104,6.762560487,-6.403664487,15.37933922,Day,yellow4
28,112,672,732160.0486,79,48,67.59881129,288.5,394,337.2414562,1.16556,152,-0.215,2004018,64.01731459,15.40082704,-14.23526704,6.762560487,-5.597000487,15.37933922,Day,yellow4
24,139,920,732160.7195,80,46,62.0640608,228,336,278.5521173,17.267784,183,-0.23,2004018,64.68824122,15.41847337,1.84931063,6.751266201,10.5165178,15.35043916,Day,yellow4
26,135,872,732160.7388,79,72,57.20160367,237,293.5,301.908362,17.73,182,-0.23,2004018,64.70750041,15.41847337,2.31152663,6.751266201,10.9787338,15.35043916,Day,yellow4
25,134,872,732160.7606,78,56,57.36311569,250,366.5,312.9501718,18.254448,180,-0.235,2004018,64.72935181,15.41847337,2.83597463,6.751266201,11.5031818,15.35043916,Day,yellow4
27,125,784,732160.7816,76,30,60.98726115,267,575,313.5197452,18.75888,195,-0.235,2004018,64.75037,15.41847337,3.34040663,6.751266201,12.0076138,15.35043916,Day,yellow4
